Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,1,12,13:00,UTC,322,1.7
2019,1,12,13:30,UTC,323,1.7
2019,1,12,14:00,UTC,334,1.6
2019,1,12,14:30,UTC,334,1.5
2019,1,12,15:00,UTC,329,1.4
2019,1,12,15:30,UTC,341,1.4
2019,1,12,16:00,UTC,334,1.4
2019,1,12,16:30,UTC,333,1.3
2019,1,12,17:00,UTC,341,1.2
2019,1,12,17:30,UTC,343,1.3
2019,1,12,18:00,UTC,354,1.3
2019,1,12,18:30,UTC,348,1.1
2019,1,12,19:00,UTC,348,1.2
2019,1,12,19:30,UTC,341,1.1
2019,1,12,20:00,UTC,353,1.1
2019,1,12,20:30,UTC,358,1
2019,1,12,21:00,UTC,351,1
2019,1,12,21:30,UTC,354,0.9
2019,1,12,22:00,UTC,360,1
2019,1,12,22:30,UTC,8,0.9
2019,1,12,23:00,UTC,4,0.9
2019,1,12,23:30,UTC,1,0.9
2019,1,13,00:00,UTC,5,0.8
2019,1,13,00:30,UTC,11,0.8
2019,1,13,01:00,UTC,360,0.8
2019,1,13,01:30,UTC,7,0.8
2019,1,13,02:00,UTC,9,0.8
2019,1,13,02:30,UTC,360,0.7
2019,1,13,03:00,UTC,1,0.7
2019,1,13,03:30,UTC,1,0.7
2019,1,13,04:00,UTC,1,0.7
2019,1,13,04:30,UTC,8,0.7
2019,1,13,05:00,UTC,353,0.7
2019,1,13,05:30,UTC,358,0.7
2019,1,13,06:00,UTC,350,0.7
2019,1,13,06:30,UTC,2,0.6
2019,1,13,07:00,UTC,1,0.6
2019,1,13,07:30,UTC,353,0.6
2019,1,13,08:00,UTC,355,0.7
2019,1,13,08:30,UTC,232,0.7
2019,1,13,09:00,UTC,232,0.8
2019,1,13,09:30,UTC,227,0.9
2019,1,13,10:00,UTC,220,1
2019,1,13,10:30,UTC,220,1.1
2019,1,13,11:00,UTC,222,1.2
2019,1,13,11:30,UTC,220,1.3
2019,1,13,12:00,UTC,229,1.4
2019,1,13,12:30,UTC,223,1.5
2019,1,13,13:00,UTC,233,1.4
2019,1,13,13:30,UTC,223,1.4
2019,1,13,14:00,UTC,236,1.6
2019,1,13,14:30,UTC,223,1.7
2019,1,13,15:00,UTC,232,1.7
2019,1,13,15:30,UTC,233,1.8
2019,1,13,16:00,UTC,226,1.9
2019,1,13,16:30,UTC,223,2.1
2019,1,13,17:00,UTC,230,2.2
2019,1,13,17:30,UTC,226,2.1
2019,1,13,18:00,UTC,230,2.1
2019,1,13,18:30,UTC,232,2.1
2019,1,13,19:00,UTC,227,1.8
2019,1,13,19:30,UTC,229,1.7
2019,1,13,20:00,UTC,229,1.8
2019,1,13,20:30,UTC,229,1.6
2019,1,13,21:00,UTC,223,1.4
2019,1,13,21:30,UTC,225,1.4
2019,1,13,22:00,UTC,227,1.4
2019,1,13,22:30,UTC,292,1.5
2019,1,13,23:00,UTC,303,1.7
2019,1,13,23:30,UTC,291,1.9
2019,1,14,00:00,UTC,309,1.9
2019,1,14,00:30,UTC,317,2
2019,1,14,01:00,UTC,316,2.2
2019,1,14,01:30,UTC,326,2.2
2019,1,14,02:00,UTC,322,2.4
2019,1,14,02:30,UTC,326,2.5
2019,1,14,03:00,UTC,330,2.5
2019,1,14,03:30,UTC,322,2.3
2019,1,14,04:00,UTC,324,2.6
2019,1,14,04:30,UTC,330,2.7
2019,1,14,05:00,UTC,327,2.5
2019,1,14,05:30,UTC,329,2.6
2019,1,14,06:00,UTC,333,2.6
2019,1,14,06:30,UTC,326,2.7
2019,1,14,07:00,UTC,323,2.5
2019,1,14,07:30,UTC,323,2.6
2019,1,14,08:00,UTC,329,2.8
2019,1,14,08:30,UTC,324,2.6
2019,1,14,09:00,UTC,327,2.5
2019,1,14,09:30,UTC,324,2.7
2019,1,14,10:00,UTC,324,2.6
2019,1,14,10:30,UTC,322,2.5
2019,1,14,11:00,UTC,323,2.9
2019,1,14,11:30,UTC,324,2.5
2019,1,14,12:00,UTC,320,2.5
2019,1,14,12:30,UTC,324,2.7
2019,1,14,13:00,UTC,319,2.5
2019,1,14,13:30,UTC,322,2.5
2019,1,14,14:00,UTC,323,2.9
